lmr_id,fy_qtr,cat_type,category,subcategory,netsales,litres,fyr,qtr,end_qtr,end_qtr_dt,cyr,season,start_qtr_dt
17,FY2016Q1,Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,173628845,52236010,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
22,FY2016Q1,Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,16988008,3927908,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
27,FY2016Q1,Beer,Domestic - BC Beer,Domestic - BC Regional Beer,32389411,9094263,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
32,FY2016Q1,Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,15818440,4378195,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
37,FY2016Q1,Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,169352,25073,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
42,FY2016Q1,Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,2801993,862782,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
47,FY2016Q1,Beer,Import Beer,Asia And South Pacific Beer,1759035,382897,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
52,FY2016Q1,Beer,Import Beer,Europe Beer,25807050,5826618,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
57,FY2016Q1,Beer,Import Beer,Mexico And Caribbean Beer,13619467,2822927,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
62,FY2016Q1,Beer,Import Beer,Other Country Beer,38914,9198,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
67,FY2016Q1,Beer,Import Beer,USA Beer,13395399,3040773,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
72,FY2016Q1,Refresh Bev,Cider,Domestic Cider,14689272,3970864,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
77,FY2016Q1,Refresh Bev,Cider,Import Cider,5718579,1244269,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
82,FY2016Q1,Refresh Bev,Coolers,Malt-Based Coolers,6516653,1475487,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
87,FY2016Q1,Refresh Bev,Coolers,Spirit Coolers,22514801,5359139,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
92,FY2016Q1,Refresh Bev,Coolers,Wine/Fruit Coolers,1008407,200692,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
97,FY2016Q1,Spirits,Asian Spirits,China Spirits,677963,7408,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
102,FY2016Q1,Spirits,Asian Spirits,Korea Spirits,526653,29884,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
107,FY2016Q1,Spirits,Asian Spirits,Other Country Asian Spirits,62574,1960,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
112,FY2016Q1,Spirits,Gin,Dry Gin,9282504,359331,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
117,FY2016Q1,Spirits,Gin,Flavoured Gin,287913,10437,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
122,FY2016Q1,Spirits,Gin,Other Gin,140351,3504,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
127,FY2016Q1,Spirits,Grape and Fruit Brandy,Armagnac,24738,355,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
132,FY2016Q1,Spirits,Grape and Fruit Brandy,Brandy,1956349,82729,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
137,FY2016Q1,Spirits,Grape and Fruit Brandy,Cognac,1727156,12892,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
142,FY2016Q1,Spirits,Grape and Fruit Brandy,Eau de Vie,182657,4095,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
147,FY2016Q1,Spirits,Grape and Fruit Brandy,Grappa And Marc,58927,1206,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
152,FY2016Q1,Spirits,Grape and Fruit Brandy,Pisco,54533,1599,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
157,FY2016Q1,Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,5295987,187837,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
162,FY2016Q1,Spirits,Liqueurs,Coffee And Cocoa Liqueurs,1314002,54685,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
167,FY2016Q1,Spirits,Liqueurs,Cream/Dairy Liqueurs,5320126,216346,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
172,FY2016Q1,Spirits,Liqueurs,Fruit Liqueurs,3817997,148449,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
177,FY2016Q1,Spirits,Liqueurs,Nut Liqueurs,1480347,64648,2016,Q1,06-30,2015-06-30,2015,summer,2015-06-01
