"Index","EA.Open","EA.High","EA.Low","EA.Close","EA.Volume","EA.Adjusted"
"2020-01-02",107.940002441406,108.349998474121,106.76000213623,107.339996337891,1901000,104.714469909668
"2020-01-03",105.580001831055,107.75,105.120002746582,107.199996948242,1840300,104.577919006348
"2020-01-06",106.949996948242,109.309997558594,106.629997253418,108.779998779297,2934200,106.119247436523
"2020-01-07",109,109.25,107.730003356934,108.389999389648,1692400,105.738784790039
"2020-01-08",108.180000305176,110,107.779998779297,109.48999786377,2651600,106.811904907227
"2020-01-09",110,110.339996337891,108.269996643066,109.360000610352,1818600,106.68505859375
"2020-01-10",109.199996948242,109.269996643066,108.199996948242,108.589996337891,1756000,105.933898925781
"2020-01-13",109.050003051758,110.069999694824,108.620002746582,109.819999694824,1857400,107.133819580078
"2020-01-14",109.660003662109,110.169998168945,108.709999084473,109.580001831055,1723400,106.899696350098
"2020-01-15",109.790000915527,110.449996948242,109.139999389648,109.610000610352,1479100,106.92894744873
"2020-01-16",110,111.290000915527,109.949996948242,111.26000213623,2108300,108.538589477539
"2020-01-17",112.370002746582,112.98999786377,111.550003051758,112.930000305176,3053300,110.167739868164
"2020-01-21",112.550003051758,112.970001220703,111.769996643066,112.410003662109,2165000,109.660469055176
"2020-01-22",112.769996643066,114.040000915527,112.680000305176,113.089996337891,2423100,110.323829650879
"2020-01-23",112.919998168945,113.730003356934,112,113.480003356934,1564900,110.704284667969
"2020-01-24",114.019996643066,114.129997253418,111.629997253418,112.330001831055,2304000,109.582420349121
"2020-01-27",110.23999786377,111.190002441406,109.949996948242,110.559997558594,2175500,107.85572052002
"2020-01-28",111.290000915527,112.879997253418,111.059997558594,111.900001525879,2961900,109.162940979004
"2020-01-29",112.51000213623,112.959999084473,111.23999786377,112.209999084473,2463900,109.465370178223
"2020-01-30",111.430000305176,111.889999389648,110.309997558594,111.639999389648,3838500,108.909294128418
"2020-01-31",110.75,110.75,105.5,107.919998168945,6995800,105.280288696289
"2020-02-03",107.930000305176,109.449996948242,104.400001525879,105.040000915527,4155500,102.470733642578
"2020-02-04",106.440002441406,107.419998168945,105.330001831055,107.069999694824,4190500,104.45108795166
"2020-02-05",108.620002746582,108.959999084473,107.120002746582,107.819999694824,2895700,105.182746887207
"2020-02-06",108.800003051758,110.349998474121,108.410003662109,110,2500600,107.309417724609
"2020-02-07",109.169998168945,110.959999084473,108.73999786377,109.089996337891,2231300,106.421661376953
"2020-02-10",109.019996643066,109.76000213623,108.230003356934,108.699996948242,2170800,106.041198730469
"2020-02-11",108.949996948242,109.230003356934,107.940002441406,109.040000915527,1195300,106.372901916504
"2020-02-12",109.669998168945,109.980003356934,108.589996337891,109.720001220703,1567200,107.036262512207
"2020-02-13",109.150001525879,109.339996337891,107.970001220703,108.839996337891,1627000,106.177787780762
"2020-02-14",108.900001525879,109.889999389648,108.75,109.690002441406,1227500,107.00700378418
"2020-02-18",109.089996337891,109.830001831055,108.699996948242,109.459999084473,2171400,106.782615661621
"2020-02-19",110.099998474121,110.900001525879,109.400001525879,109.779998779297,1540000,107.094795227051
"2020-02-20",108.720001220703,109.370002746582,107.449996948242,109.199996948242,4034000,106.528984069824
"2020-02-21",108.48999786377,108.940002441406,106.800003051758,108.01000213623,2546900,105.36808013916
"2020-02-24",105.050003051758,107.930000305176,105.019996643066,107.029998779297,2817100,104.412063598633
"2020-02-25",107.720001220703,109.220001220703,105.23999786377,105.379997253418,3651300,102.802406311035
"2020-02-26",106.360000610352,108.26000213623,105.599998474121,106.540000915527,2858000,103.934028625488
"2020-02-27",104.349998474121,106.400001525879,102.720001220703,102.73999786377,4906200,100.226982116699
"2020-02-28",100.290000915527,101.889999389648,98.5899963378906,101.370002746582,6853700,98.8905181884766
"2020-03-02",101.919998168945,106.930000305176,101.709999084473,106.889999389648,4291500,104.27547454834
"2020-03-03",106.730003356934,109.709999084473,105.379997253418,106.699996948242,3984800,104.090133666992
"2020-03-04",108.290000915527,111.940002441406,108.059997558594,111.830001831055,4289700,109.094665527344
"2020-03-05",109.48999786377,111.930000305176,109.110000610352,110.209999084473,3029900,107.514274597168
"2020-03-06",106.449996948242,108.76000213623,105,107.669998168945,3886200,105.036407470703
"2020-03-09",101.569999694824,104.180000305176,99.9100036621094,100.930000305176,4784300,98.4612579345703
"2020-03-10",101.400001525879,103.569999694824,96.6500015258789,103.379997253418,6525600,100.851333618164
"2020-03-11",101.610000610352,102.169998168945,98.3300018310547,101.180000305176,4906000,98.7051467895508
"2020-03-12",94.7900009155273,99.4199981689453,92.5500030517578,93.3499984741211,6288700,91.0666885375977
"2020-03-13",98.7399978637695,99.6100006103516,92.75,97.0599975585938,5842000,94.6859283447266
"2020-03-16",89.1900024414062,96.120002746582,85.6900024414062,88.6699981689453,6196600,86.5011291503906
"2020-03-17",91.5999984741211,98.1999969482422,87.1100006103516,95.4100036621094,6370100,93.0762710571289
"2020-03-18",91.5,97.6900024414062,85.9199981689453,90.2099990844727,7073400,88.0034866333008
"2020-03-19",90.9499969482422,93.9800033569336,86,90.0599975585938,6549700,87.8571548461914
"2020-03-20",92.2399978637695,94.370002746582,86.75,86.9400024414062,6174400,84.8134460449219
"2020-03-23",89.7300033569336,97.7200012207031,88.4300003051758,95.4700012207031,8149000,93.1348114013672
"2020-03-24",100,103.099998474121,90.8099975585938,94.3000030517578,5765200,91.9934310913086
"2020-03-25",93.5299987792969,94.1500015258789,89.4599990844727,89.6399993896484,5005600,87.4474105834961
"2020-03-26",90.4700012207031,99.5699996948242,90.0800018310547,99.1999969482422,5750300,96.7735824584961
"2020-03-27",96.5299987792969,99.6800003051758,94.629997253418,95.370002746582,4519800,93.0372467041016
"2020-03-30",96.7699966430664,99.2900009155273,96.1699981689453,97.6900024414062,3352700,95.3005065917969
"2020-03-31",97.7900009155273,101,96.620002746582,100.169998168945,3762300,97.719841003418
"2020-04-01",98.379997253418,99.8399963378906,96.6999969482422,97.5299987792969,4056500,95.1444244384766
"2020-04-02",98.0999984741211,102.819999694824,97.5,102.290000915527,3793000,99.7880096435547
"2020-04-03",102.809997558594,104.349998474121,100.790000915527,102.830001831055,4084300,100.314796447754
"2020-04-06",105.389999389648,107.5,104.550003051758,106.51000213623,4280200,103.90478515625
"2020-04-07",107.129997253418,107.459999084473,100.110000610352,106.319999694824,5496100,103.719421386719
"2020-04-08",106.949996948242,108.23999786377,105.25,106.800003051758,3199600,104.187683105469
"2020-04-09",106,109.379997253418,105.059997558594,105.800003051758,3717200,103.212142944336
"2020-04-13",105.650001525879,109.779998779297,104.650001525879,109.300003051758,2680800,106.626541137695
"2020-04-14",111.800003051758,113.019996643066,110,112.029998779297,2622800,109.289779663086
"2020-04-15",110.73999786377,114.470001220703,110.209999084473,113.51000213623,3100000,110.733558654785
"2020-04-16",114.75,118.690002441406,114.529998779297,118.099998474121,4020600,115.211288452148
"2020-04-17",116.709999084473,117,112.650001525879,115.150001525879,5032100,112.333457946777
"2020-04-20",114.839996337891,116.529998779297,113.919998168945,115.410003662109,2946100,112.587089538574
"2020-04-21",114.680000305176,116.199996948242,112.110000610352,113.269996643066,2483200,110.499420166016
"2020-04-22",114.360000610352,115.069999694824,111.180000305176,114.569999694824,2558900,111.767631530762
"2020-04-23",114.699996948242,116.629997253418,113.690002441406,114.459999084473,2737700,111.660331726074
"2020-04-24",115.669998168945,116.680000305176,114.089996337891,116.309997558594,1753800,113.465065002441
"2020-04-27",117.970001220703,118.470001220703,115.129997253418,116.019996643066,2352000,113.182167053223
"2020-04-28",116,116.48999786377,110.919998168945,111.349998474121,4647900,108.626403808594
"2020-04-29",111.870002746582,114.449996948242,110.860000610352,112.779998779297,3911900,110.021423339844
"2020-04-30",112.480003356934,114.48999786377,112.400001525879,114.26000213623,3506700,111.465217590332
"2020-05-01",113.129997253418,114.360000610352,112.059997558594,113.269996643066,2378600,110.499420166016
"2020-05-04",113.910003662109,117.559997558594,113.650001525879,116.830001831055,3284800,113.972358703613
"2020-05-05",118.319999694824,120.190002441406,116.300003051758,119.610000610352,5060600,116.684356689453
"2020-05-06",115,117.160003662109,111.830001831055,115.319999694824,6082900,112.49927520752
"2020-05-07",116.269996643066,116.940002441406,114.730003356934,116.800003051758,3579000,113.943092346191
"2020-05-08",116.25,117.519996643066,115.580001831055,116.620002746582,3597800,113.767486572266
"2020-05-11",116.930000305176,118.5,116.349998474121,117.370002746582,2899100,114.499137878418
"2020-05-12",117.680000305176,119.519996643066,116.290000915527,116.370002746582,2875700,113.52360534668
"2020-05-13",117.069999694824,119.160003662109,114.519996643066,116.900001525879,3079200,114.040649414062
"2020-05-14",116.5,117.26000213623,114.459999084473,117.120002746582,2802800,114.255256652832
"2020-05-15",116.220001220703,118.900001525879,116.110000610352,118.129997253418,3268100,115.240547180176
"2020-05-18",116.709999084473,117.919998168945,114.730003356934,117.120002746582,4335100,114.255256652832
"2020-05-19",116.769996643066,119.370002746582,116.720001220703,118.540000915527,2517900,115.640518188477
"2020-05-20",119.099998474121,121.76000213623,119.059997558594,119.550003051758,3530400,116.625839233398
"2020-05-21",119.879997253418,119.879997253418,117.199996948242,117.360000610352,2257100,114.489379882812
"2020-05-22",117.220001220703,120.01000213623,116.620002746582,119.819999694824,2287300,116.889228820801
"2020-05-26",120.440002441406,120.480003356934,116.190002441406,116.639999389648,3260800,113.78702545166
"2020-05-27",115.069999694824,117.76000213623,111.110000610352,117.379997253418,4978700,114.508888244629
